,time,nationNm,nationNmEn,natDefCnt,natDeathCnt,natDeathRate
0,20210225T09:00:00Z,중국,China,89871,4636,5.1585049682
1,20210225T09:00:00Z,홍콩,Hong Kong,10913,198,1.8143498579
2,20210225T09:00:00Z,대만,Taiwan,946,9,0.9513742071
3,20210225T09:00:00Z,마카오,Macau,48,0,0.0
4,20210225T09:00:00Z,일본,Japan,427467,7584,1.7741720413
5,20210225T09:00:00Z,싱가포르,Singapore,59883,29,0.0484277674
6,20210225T09:00:00Z,태국,Thailand,25692,83,0.3230577611
7,20210225T09:00:00Z,말레이시아,Malaysia,288229,1076,0.3733142744
8,20210225T09:00:00Z,베트남,Vietnam,2403,35,1.4565126924
9,20210225T09:00:00Z,인도,India,11030176,156567,1.4194424458
10,20210225T09:00:00Z,필리핀,Philippines,564865,12107,2.1433439848
11,20210225T09:00:00Z,캄보디아,Cambodia,633,0,0.0
12,20210225T09:00:00Z,네팔,Nepal,273666,2065,0.7545694386
13,20210225T09:00:00Z,스리랑카,Sri Lanka,81009,453,0.5591971262
14,20210225T09:00:00Z,아프가니스탄,Afghanistan,55664,2436,4.3762575452
15,20210225T09:00:00Z,파키스탄,Pakistan,573384,12658,2.2075956078
16,20210225T09:00:00Z,인도네시아,Indonesia,1298608,35014,2.6962717001
17,20210225T09:00:00Z,부탄,Bhutan,867,1,0.1153402537
18,20210225T09:00:00Z,몰디브,Maldives,19038,60,0.3151591553
19,20210225T09:00:00Z,방글라데시,Bangladesh,544116,8374,1.5390100640
20,20210225T09:00:00Z,브루나이,Brunei,185,3,1.6216216216
21,20210225T09:00:00Z,몽골,Mongolia,2723,2,0.0734484024
22,20210225T09:00:00Z,카자흐스탄,Kazakhstan,257800,3311,1.2843289371
23,20210225T09:00:00Z,우즈베키스탄,Uzbekistan,79749,622,0.7799470839
24,20210225T09:00:00Z,키르기스스탄,Kyrgyzstan,86025,1460,1.6971810520
25,20210225T09:00:00Z,동티모르,East Timor,109,0,0.0
26,20210225T09:00:00Z,미얀마,Myanmar,141783,3197,2.2548542490
27,20210225T09:00:00Z,라오스,Laos,45,0,0.0
28,20210225T09:00:00Z,타지키스탄,Tajikistan,13714,91,0.6635554907
29,20210225T09:00:00Z,이란,Iran,1590605,59663,3.7509626840
30,20210225T09:00:00Z,바레인,Bahrain,119205,433,0.3632397969
31,20210225T09:00:00Z,이집트,Egypt,179407,10443,5.8208431109
32,20210225T09:00:00Z,이라크,Iraq,675982,13311,1.9691352728
33,20210225T09:00:00Z,요르단,Jordan,372417,4589,1.2322208706
34,20210225T09:00:00Z,쿠웨이트,Kuwait,186004,1057,0.5682673490
35,20210225T09:00:00Z,레바논,Lebanon,359320,4446,1.2373371924
36,20210225T09:00:00Z,리비아,Libya,130701,2125,1.6258483102
37,20210225T09:00:00Z,모로코,Morocco,481709,8574,1.7799127689
38,20210225T09:00:00Z,오만,Oman,139989,1557,1.1122302466
39,20210225T09:00:00Z,카타르,Qatar,161344,257,0.1592869892
40,20210225T09:00:00Z,사우디아라비아,Saudi Arabia,375668,6470,1.7222654045
41,20210225T09:00:00Z,시리아,Syria,15282,1004,6.5698207040
42,20210225T09:00:00Z,튀니지,Tunisia,229781,7843,3.4132500076
43,20210225T09:00:00Z,이스라엘,Israel,742752,5522,0.7434513808
44,20210225T09:00:00Z,아랍에미리트,United Arab Emirates,375535,1145,0.3048983450
45,20210225T09:00:00Z,알제리,Algeria,112279,2967,2.6425244257
46,20210225T09:00:00Z,예멘,Yemen,2191,621,28.343222272
47,20210225T09:00:00Z,미국,United States of America,27883560,496850,1.7818743374
48,20210225T09:00:00Z,캐나다,Canada,849517,21723,2.5571000933
49,20210225T09:00:00Z,멕시코,Mexico,2043632,180536,8.8340758022
50,20210225T09:00:00Z,파나마,Panama,337087,5756,1.7075710424
51,20210225T09:00:00Z,온두라스,Honduras,165737,4025,2.4285464319
52,20210225T09:00:00Z,과테말라,Guatemala,172072,6315,3.6699753591
53,20210225T09:00:00Z,코스타리카,Costa Rica,202674,2782,1.3726477002
54,20210225T09:00:00Z,엘살바도르,Elsalvador,59235,1815,3.0640668523
55,20210225T09:00:00Z,벨리즈,Belize,12255,314,2.5622195022
56,20210225T09:00:00Z,니카라구아,Nicaragua,5142,173,3.3644496304
57,20210225T09:00:00Z,도미니카공화국,Dominican Republic,236210,3057,1.2941873756
58,20210225T09:00:00Z,쿠바,Cuba,46197,304,0.6580513886
59,20210225T09:00:00Z,자메이카,Jamaica,21826,405,1.8555850820
60,20210225T09:00:00Z,트리니다드토바고,Trinidad and Tobago,7682,139,1.8094246290
61,20210225T09:00:00Z,아이티,Haiti,12352,247,1.9996761658
62,20210225T09:00:00Z,바하마,Bahamas,8471,179,2.1130917247
63,20210225T09:00:00Z,바베이도스,Barbados,2791,31,1.1107130060
64,20210225T09:00:00Z,앤티가바부다,Antigua and Barbuda,614,14,2.2801302931
65,20210225T09:00:00Z,그레나다,Grenada,148,1,0.6756756756
66,20210225T09:00:00Z,세인트루시아,Saint Lucia,3142,32,1.0184595798
67,20210225T09:00:00Z,세인트빈센트그레나딘,Saint Vincent and the Grenadines,1511,6,0.3970880211
68,20210225T09:00:00Z,도미니카연방,Commonwealth of Dominica,134,0,0.0
69,20210225T09:00:00Z,세인트키츠네비스,Saint Kitts and Nevis,41,0,0.0
70,20210225T09:00:00Z,브라질,Brazil,10195160,247143,2.4241208573
71,20210225T09:00:00Z,페루,Peru,1286757,45263,3.5176027797
72,20210225T09:00:00Z,에콰도르,Ecuador,275780,15567,5.6447168032
73,20210225T09:00:00Z,칠레,Chile,805317,20151,2.5022444577
74,20210225T09:00:00Z,콜롬비아,Columbia,2229663,58974,2.6449737023
75,20210225T09:00:00Z,아르헨티나,Argentina,2077228,51510,2.4797470475
76,20210225T09:00:00Z,볼리비아,Bolivia,243176,11470,4.7167483633
77,20210225T09:00:00Z,우루과이,Uruguay,53310,583,1.0936034515
78,20210225T09:00:00Z,파라과이,Paraguay,152658,3080,2.0175817841
79,20210225T09:00:00Z,베네수엘라,Venezuela,136545,1320,0.9667142700
80,20210225T09:00:00Z,가이아나,Guyana,8427,189,2.2427910288
81,20210225T09:00:00Z,수리남,Suriname,8869,169,1.9055135866
82,20210225T09:00:00Z,이탈리아,Italy,2832162,96348,3.4019240424
83,20210225T09:00:00Z,독일,Germany,2402818,68740,2.8608076017
84,20210225T09:00:00Z,프랑스,France,3566830,84621,2.3724427572
85,20210225T09:00:00Z,영국,United Kingdom,4134643,121305,2.9338687765
86,20210225T09:00:00Z,스페인,Spain,3161432,68079,2.1534228792
87,20210225T09:00:00Z,오스트리아,Austria,444531,8317,1.8709606304
88,20210225T09:00:00Z,크로아티아,Croatia,241048,5477,2.2721615611
89,20210225T09:00:00Z,핀란드,Finland,54532,734,1.3459986796
90,20210225T09:00:00Z,스웨덴,Sweden,642099,12713,1.9799127548
91,20210225T09:00:00Z,스위스,Switzerland,548728,9188,1.6744179265
