,time,Confirmed,Deaths,Recovered,Tested,Testing,Negative,tConfirmed,tDeaths,tRecovered,tTesting
0,20200202T09:00:00Z,2,2,2,0,2,0,2,2,2,2
1,20200203T09:00:00Z,15,0,0,0,0,0,13,-2,-2,-2
2,20200204T00:00:00Z,0,0,0,0,0,0,-15,0,0,0
3,20200205T09:00:00Z,18,0,0,0,129,0,18,0,0,129
4,20200206T09:00:00Z,23,0,1,0,169,0,4,0,0,129
5,20200207T09:00:00Z,24,0,2,0,264,0,1,0,1,95
6,20200208T09:00:00Z,24,0,2,0,620,0,0,0,0,293
7,20200209T09:00:00Z,25,0,3,0,960,0,1,0,1,21
8,20200210T09:00:00Z,27,0,3,0,809,0,0,0,0,-79
9,20200211T09:00:00Z,28,0,4,0,865,0,1,0,1,334
10,20200212T09:00:00Z,28,0,4,0,992,0,0,0,0,230
11,20200213T09:00:00Z,28,0,7,0,670,0,0,0,0,-115
12,20200214T09:00:00Z,28,0,7,0,692,0,0,0,0,130
13,20200215T09:00:00Z,28,0,7,0,638,0,0,0,0,103
14,20200216T09:00:00Z,29,0,9,0,577,0,1,0,0,19
15,20200217T09:00:00Z,30,0,9,0,408,0,1,0,0,-77
16,20200218T09:00:00Z,31,0,10,0,957,0,1,0,0,249
17,20200219T09:00:00Z,46,0,12,0,1030,0,15,0,0,212
18,20200220T09:00:00Z,82,0,16,0,1633,0,31,0,0,484
19,20200221T09:00:00Z,156,1,16,0,2707,0,52,0,0,847
20,20200222T09:00:00Z,346,2,17,0,5481,0,142,1,0,2301
21,20200223T09:00:00Z,556,4,18,0,6039,0,123,2,0,2
22,20200224T09:00:00Z,763,7,18,0,8725,0,161,2,0,668
23,20200225T09:00:00Z,893,8,22,0,13273,0,60,1,0,1642
24,20200226T09:00:00Z,1146,11,22,0,16734,0,169,1,0,2854
25,20200227T09:00:00Z,1595,12,24,0,21097,0,334,0,0,381
26,20200228T09:00:00Z,2022,13,26,0,24751,0,256,0,0,-817
27,20200229T09:00:00Z,2931,16,27,0,29154,0,594,3,0,-1083
28,20200301T09:00:00Z,3526,17,30,0,32422,0,376,0,2,-2760
29,20200302T00:00:00Z,4212,22,31,109591,33799,71580,476,4,1,439
30,20200303T00:00:00Z,4812,28,34,125851,35555,85484,600,6,3,1756
31,20200304T00:00:00Z,5328,32,41,136707,28414,102965,516,4,7,-7141
32,20200305T00:00:00Z,5766,35,88,146541,21810,118965,438,3,47,-6604
33,20200306T00:00:00Z,6284,42,108,164740,21832,136624,518,7,20,22
34,20200307T00:00:00Z,6767,44,118,178189,19620,151802,483,2,10,-2212
35,20200308T00:00:00Z,7134,50,130,188518,19376,162008,367,6,12,-244
36,20200309T00:00:00Z,7382,51,166,196618,17458,171778,248,1,36,-1918
37,20200310T00:00:00Z,7513,54,247,210144,18452,184179,131,3,81,994
38,20200311T00:00:00Z,7755,60,288,222395,18540,196100,242,6,41,88
39,20200312T00:00:00Z,7869,66,333,234998,17727,209402,114,6,45,-813
40,20200313T00:00:00Z,7979,67,510,248647,17940,222728,110,1,177,213
41,20200314T00:00:00Z,8086,72,714,261335,17634,235615,107,5,204,-306
42,20200315T00:00:00Z,8162,75,834,268212,16272,243778,76,3,120,-1362
43,20200316T00:00:00Z,8236,75,1137,274504,14971,251297,74,0,303,-1301
44,20200317T00:00:00Z,8320,81,1401,286716,17291,261105,84,6,264,2320
45,20200318T00:00:00Z,8413,84,1540,295647,16346,270888,93,3,139,-945
46,20200319T00:00:00Z,8565,91,1947,307024,15904,282555,152,7,407,-442
47,20200320T00:00:00Z,8652,94,2233,316664,15525,292487,87,3,286,-379
48,20200321T00:00:00Z,8799,102,2612,327509,15704,303006,147,8,379,179
49,20200322T00:00:00Z,8897,104,2909,331780,14540,308343,98,2,297,-1164
