time,Confirmed,Deaths,Recovered,Tested,Testing,Negative
0,20200202T09:00:00Z,2,2,2,0,2,0
1,20200203T09:00:00Z,15,0,0,0,0,0
2,20200204T00:00:00Z,0,0,0,0,0,0
3,20200205T19:00:00Z,19,0,1,0,40,0
4,20200206T09:00:00Z,23,0,1,0,169,0
5,20200207T16:00:00Z,24,0,2,0,327,0
6,20200208T16:00:00Z,24,0,2,0,939,0
7,20200209T16:00:00Z,27,0,3,0,888,0
8,20200210T16:00:00Z,27,0,3,0,531,0
9,20200211T16:00:00Z,28,0,4,0,762,0
10,20200212T16:00:00Z,28,0,7,0,785,0
11,20200213T16:00:00Z,28,0,7,0,562,0
12,20200214T16:00:00Z,28,0,7,0,535,0
13,20200215T16:00:00Z,28,0,9,0,558,0
14,20200216T16:00:00Z,29,0,9,0,485,0
15,20200217T16:00:00Z,30,0,10,0,708,0
16,20200218T16:00:00Z,31,0,12,0,818,0
17,20200219T16:00:00Z,51,0,16,0,1149,0
18,20200220T16:00:00Z,104,1,16,0,1860,0
19,20200221T16:00:00Z,204,1,17,0,3180,0
20,20200222T16:00:00Z,433,2,18,0,6037,0
21,20200223T16:00:00Z,602,5,18,0,8057,0
22,20200224T16:00:00Z,833,7,22,0,11631,0
23,20200225T16:00:00Z,977,10,22,0,13880,0
24,20200226T16:00:00Z,1261,12,24,0,20716,0
25,20200227T16:00:00Z,1766,13,26,0,25568,0
26,20200228T16:00:00Z,2337,13,27,0,30237,0
27,20200229T16:00:00Z,3150,17,28,0,35182,0
28,20200301T16:00:00Z,3736,18,30,0,33360,0
29,20200302T00:00:00Z,4212,22,31,109591,33799,71580
30,20200303T00:00:00Z,4812,28,34,125851,35555,85484
31,20200304T00:00:00Z,5328,32,41,136707,28414,102965
32,20200305T00:00:00Z,5766,35,88,146541,21810,118965
33,20200306T00:00:00Z,6284,42,108,164740,21832,136624
34,20200307T00:00:00Z,6767,44,118,178189,19620,151802
35,20200308T00:00:00Z,7134,50,130,188518,19376,162008
36,20200309T00:00:00Z,7382,51,166,196618,17458,171778
37,20200310T00:00:00Z,7513,54,247,210144,18452,184179
38,20200311T00:00:00Z,7755,60,288,222395,18540,196100
39,20200312T00:00:00Z,7869,66,333,234998,17727,209402
40,20200313T00:00:00Z,7979,67,510,248647,17940,222728
41,20200314T00:00:00Z,8086,72,714,261335,17634,235615
42,20200315T00:00:00Z,8162,75,834,268212,16272,243778
43,20200316T00:00:00Z,8236,75,1137,274504,14971,251297
44,20200317T00:00:00Z,8320,81,1401,286716,17291,261105
45,20200318T00:00:00Z,8413,84,1540,295647,16346,270888
46,20200319T00:00:00Z,8565,91,1947,307024,15904,282555
47,20200320T00:00:00Z,8652,94,2233,316664,15525,292487
48,20200321T00:00:00Z,8799,102,2612,327509,15704,303006
49,20200322T00:00:00Z,8897,104,2909,331780,14540,308343
50,20200323T00:00:00Z,8961,111,3166,338036,13628,315447
51,20200324T00:00:00Z,9037,120,3507,348582,15440,324105
52,20200325T00:00:00Z,9137,126,3730,357896,14278,334481
53,20200326T00:00:00Z,9241,131,4144,364942,14369,341332
54,20200327T00:00:00Z,9332,139,4528,376961,15219,352410
55,20200328T00:00:00Z,9478,144,4811,387925,16564,361883
56,20200329T00:00:00Z,9583,152,5033,394141,15028,369530
57,20200330T00:00:00Z,9661,158,5228,395194,13531,372002
58,20200331T00:00:00Z,9786,162,5408,410564,16892,383886
59,20200401T00:00:00Z,9887,165,5567,421547,16585,395075
60,20200402T00:00:00Z,9976,169,5828,431743,17885,403882
61,20200403T00:00:00Z,10062,174,6021,443273,18908,414303
62,20200404T00:00:00Z,10156,177,6325,455032,20144,424732
63,20200405T00:00:00Z,10237,183,6463,461233,19571,431425
64,20200406T00:00:00Z,10284,186,6598,466804,19295,437225
65,20200407T00:00:00Z,10331,192,6694,477304,20650,446323
66,20200408T00:00:00Z,10384,200,6776,486003,17858,457761
67,20200409T00:00:00Z,10423,204,6973,494711,15509,468779
68,20200410T00:00:00Z,10450,208,7117,503051,15298,477303
69,20200411T00:00:00Z,10480,211,7243,510479,14070,485929
70,20200412T00:00:00Z,10512,214,7368,514621,13788,490321
71,20200413T00:00:00Z,10537,217,7447,518743,13391,494815
72,20200414T00:00:00Z,10564,222,7534,527438,14651,502223
73,20200415T00:00:00Z,10591,225,7616,534552,15026,508935
74,20200416T00:00:00Z,10613,229,7757,538775,14268,513894
75,20200417T00:00:00Z,10635,230,7829,546463,14186,521642
76,20200418T00:00:00Z,10653,232,7937,554834,13550,530631
77,20200419T00:00:00Z,10661,234,8042,559109,12243,536205
78,20200420T00:00:00Z,10674,236,8114,563035,11981,540380
79,20200421T00:00:00Z,10683,237,8213,571014,12721,547610
80,20200422T00:00:00Z,10694,238,8277,577959,12121,555144
81,20200423T00:00:00Z,10702,240,8411,583971,10139,563130
82,20200424T00:00:00Z,10708,240,8501,589520,9600,569212
83,20200425T00:00:00Z,10718,240,8635,595161,9259,575184
84,20200426T00:00:00Z,10728,242,8717,598285,8999,578558
85,20200427T00:00:00Z,10738,243,8764,601660,8895,582027
86,20200428T00:00:00Z,10752,244,8854,608514,9203,588559
87,20200429T00:00:00Z,10761,246,8922,614197,8307,595129
88,20200430T00:00:00Z,10765,247,9059,619881,8634,600482
89,20200501T00:00:00Z,10774,248,9072,623069,8685,603610
90,20200502T00:00:00Z,10780,250,9123,627562,8496,608286
91,20200503T00:00:00Z,10793,250,9183,630973,8588,611592
92,20200504T00:00:00Z,10801,252,9217,633921,8176,614944
93,20200505T00:00:00Z,10804,254,9283,640237,8858,620575
94,20200506T00:00:00Z,10806,255,9333,643095,8009,624280
95,20200507T00:00:00Z,10810,256,9419,649388,8429,630149
96,20200508T00:00:00Z,10822,256,9484,654863,8867,635174
97,20200509T00:00:00Z,10840,256,9568,660030,9153,640037
98,20200510T00:00:00Z,10874,256,9610,663886,10128,642884
99,20200511T00:00:00Z,10909,256,9632,668492,10922,646661
100,20200512T00:00:00Z,10936,258,9670,680890,16330,653624
101,20200513T00:00:00Z,10962,259,9695,695920,19579,665379
102,20200514T00:00:00Z,10991,260,9762,711484,20722,679771
103,20200515T00:00:00Z,11018,260,9821,726747,19875,695854
104,20200516T00:00:00Z,11037,262,9851,740645,18343,711265
105,20200517T00:00:00Z,11050,262,9888,747653,17660,718943
106,20200518T00:00:00Z,11065,263,9904,753211,16093,726053
107,20200519T00:00:00Z,11078,263,9938,765574,16925,737571
108,20200520T00:00:00Z,11110,263,10066,776433,16351,748972
109,20200521T00:00:00Z,11122,264,10135,788684,18089,759473
110,20200522T00:00:00Z,11142,264,10162,802418,20286,770990
111,20200523T00:00:00Z,11165,266,10194,814420,21569,781686
112,20200524T00:00:00Z,11190,266,10213,820289,20333,788766
113,20200525T00:00:00Z,11206,267,10226,826437,19089,796142
114,20200526T00:00:00Z,11225,269,10275,839475,22044,806206
115,20200527T00:00:00Z,11265,269,10295,852876,21061,820550
116,20200528T00:00:00Z,11344,269,10340,868666,22370,834952
117,20200529T00:00:00Z,11402,269,10363,885120,24557,849161
118,20200530T00:00:00Z,11441,269,10398,902901,26298,865162
119,20200531T00:00:00Z,11468,270,10405,910822,23294,876060
120,20200601T00:00:00Z,11503,271,10422,921391,24058,885830
121,20200602T00:00:00Z,11541,272,10446,939851,28922,899388
122,20200603T00:00:00Z,11590,273,10467,956852,27865,917397
123,20200604T00:00:00Z,11629,273,10499,973858,28199,934030
124,20200605T00:00:00Z,11668,273,10506,990960,28766,950526
125,20200606T00:00:00Z,11719,273,10531,1005305,27954,965632
126,20200607T00:00:00Z,11776,273,10552,1012769,26481,974512
127,20200608T00:00:00Z,11814,273,10563,1018213,24374,982026
128,20200609T00:00:00Z,11852,274,10589,1035996,27459,996686
129,20200610T00:00:00Z,11902,276,10611,1051971,26223,1013847
130,20200611T00:00:00Z,11947,276,10654,1066887,25494,1029447
131,20200612T00:00:00Z,12003,277,10669,1081486,24244,1045240
132,20200613T00:00:00Z,12051,277,10691,1094703,23352,1059301
133,20200614T00:00:00Z,12085,277,10718,1100327,21356,1066887
134,20200615T00:00:00Z,12121,277,10730,1105719,20793,1072805
135,20200616T00:00:00Z,12155,278,10760,1119767,22632,1084980
136,20200617T00:00:00Z,12198,279,10774,1132823,21489,1099136
137,20200618T00:00:00Z,12257,280,10800,1145712,21714,1111741
138,20200619T00:00:00Z,12306,280,10835,1158063,21190,1124567
139,20200620T00:00:00Z,12373,280,10856,1170901,21470,1137058
140,20200621T00:00:00Z,12421,280,10868,1176463,20071,1143971
141,20200622T00:00:00Z,12438,280,10881,1182066,19403,1150225
142,20200623T00:00:00Z,12484,281,10908,1196012,22278,1161250
143,20200624T00:00:00Z,12535,281,10930,1208597,20245,1175817
144,20200625T00:00:00Z,12563,282,10974,1220478,18900,1189015
145,20200626T00:00:00Z,12602,282,11172,1232315,18828,1200885
146,20200627T00:00:00Z,12653,282,11317,1243780,19866,1211261
147,20200628T00:00:00Z,12715,282,11364,1251695,19005,1219975
148,20200629T00:00:00Z,12757,282,11429,1259954,18499,1228698
149,20200630T00:00:00Z,12800,282,11537,1273765,20809,1240157
150,20200701T00:00:00Z,12850,282,11613,1285231,19526,1252855
151,20200702T00:00:00Z,12904,282,11684,1295962,19782,1263276
152,20200703T00:00:00Z,12967,282,11759,1307761,21560,1273234
153,20200704T00:00:00Z,13030,283,11811,1319521,22321,1284172
154,20200705T00:00:00Z,13091,283,11832,1326055,21649,1291317
155,20200706T00:00:00Z,13137,284,11848,1331796,21292,1297367
156,20200707T00:00:00Z,13181,285,11914,1346194,23675,1309338
157,20200708T00:00:00Z,13244,285,11970,1359734,24012,1322479
158,20200709T00:00:00Z,13293,287,12019,1371771,23912,1334566
159,20200710T00:00:00Z,13338,288,12065,1384890,23527,1348025
160,20200711T00:00:00Z,13373,288,12144,1396941,22950,1360618
161,20200712T00:00:00Z,13417,289,12178,1402144,21830,1366897
162,20200713T00:00:00Z,13479,289,12204,1408312,21845,1372988
163,20200714T00:00:00Z,13512,289,12282,1420616,24289,1382815
164,20200715T00:00:00Z,13551,289,12348,1431316,23297,1394468
165,20200716T00:00:00Z,13612,291,12396,1441348,23404,1404332
166,20200717T00:00:00Z,13672,293,12460,1451017,23110,1414235
167,20200718T00:00:00Z,13711,294,12519,1460204,22923,1423570
168,20200719T00:00:00Z,13745,295,12556,1465299,21953,1429601
169,20200720T00:00:00Z,13771,296,12572,1470193,21302,1435120
170,20200721T00:00:00Z,13816,296,12643,1482390,23864,1444710
171,20200722T00:00:00Z,13879,297,12698,1492071,21751,1456441
172,20200723T00:00:00Z,13938,297,12758,1500854,21418,1465498
173,20200724T00:00:00Z,13979,298,12817,1510327,20559,1475789
174,20200725T00:00:00Z,14092,298,12866,1518634,19681,1484861
175,20200726T00:00:00Z,14150,298,12890,1522926,19214,1489562
176,20200727T00:00:00Z,14175,299,12905,1526974,18770,1494029
177,20200728T00:00:00Z,14203,300,13007,1537704,20444,1503057
178,20200729T00:00:00Z,14251,300,13069,1547307,19326,1513730
179,20200730T00:00:00Z,14269,300,13132,1556215,19018,1522928
180,20200731T00:00:00Z,14305,301,13183,1563796,18330,1531161
181,20200801T00:00:00Z,14336,301,13233,1571830,18278,1539216
182,20200802T00:00:00Z,14366,301,13259,1576246,17768,1544112
183,20200803T00:00:00Z,14389,301,13280,1579757,17401,1547967
184,20200804T00:00:00Z,14423,301,13352,1589780,18724,1556633
185,20200805T00:00:00Z,14456,302,13406,1598187,18490,1565241
186,20200806T00:00:00Z,14499,302,13501,1606487,18031,1573957
187,20200807T00:00:00Z,14519,303,13543,1613652,17068,1582065
188,20200808T00:00:00Z,14562,304,13629,1620514,16105,1589847
189,20200809T00:00:00Z,14598,305,13642,1624650,16803,1593249
190,20200810T00:00:00Z,14626,305,13658,1628303,16396,1597281
191,20200811T00:00:00Z,14660,305,13729,1637844,17489,1605695
192,20200812T00:00:00Z,14714,305,13786,1646652,17375,1614563
193,20200813T00:00:00Z,14770,305,13817,1654898,17798,1622330
194,20200814T00:00:00Z,14873,305,13863,1665084,20132,1630079
195,20200815T00:00:00Z,15039,305,13901,1675296,21618,1638639
196,20200816T00:00:00Z,15318,305,13910,1681787,22005,1644464
197,20200817T00:00:00Z,15515,305,13917,1688470,22964,1649991
198,20200818T00:00:00Z,15761,306,13934,1697042,25219,1656062
199,20200819T00:00:00Z,16058,306,14006,1715064,31022,1667984
200,20200820T00:00:00Z,16346,307,14063,1734083,34998,1682739
201,20200821T00:00:00Z,16670,309,14120,1754123,38045,1699408
202,20200822T00:00:00Z,17002,309,14169,1775800,42427,1716371
203,20200823T00:00:00Z,17399,309,14200,1791186,47564,1726223
204,20200824T00:00:00Z,17665,309,14219,1804422,47995,1738762
205,20200825T00:00:00Z,17945,310,14286,1825837,50362,1757530
206,20200826T00:00:00Z,18265,312,14368,1849506,52795,1778446
207,20200827T00:00:00Z,18706,313,14461,1869579,52041,1798832
208,20200828T00:00:00Z,19077,316,14551,1887717,50711,1817929
209,20200829T00:00:00Z,19400,321,14765,1909329,54046,1835883
210,20200830T00:00:00Z,19699,323,14903,1924170,58021,1846450
211,20200831T00:00:00Z,19947,324,14973,1937689,57876,1859866
212,20200901T00:00:00Z,20182,324,15198,1959080,56743,1882155
213,20200902T00:00:00Z,20449,326,15356,1980295,56748,1903098
214,20200903T00:00:00Z,20644,329,15529,2000552,55524,1924384
215,20200904T00:00:00Z,20842,331,15783,2018906,52266,1945798
216,20200905T00:00:00Z,21010,333,16009,2037045,52077,1963958
217,20200906T00:00:00Z,21177,334,16146,2045935,49621,1975137
218,20200907T00:00:00Z,21296,336,16297,2051297,47109,1982892
219,20200908T00:00:00Z,21432,341,16636,2066078,43370,2001276
220,20200909T00:00:00Z,21588,344,17023,2082234,36533,2024113
221,20200910T00:00:00Z,21743,346,17360,2099591,33018,2044830
222,20200911T00:00:00Z,21919,350,17616,2119211,29423,2067869
223,20200912T00:00:00Z,22055,355,18029,2135457,27826,2085576
224,20200913T00:00:00Z,22176,358,18226,2143270,27705,2093389
225,20200914T00:00:00Z,22285,363,18489,2151002,27476,2101241
226,20200915T00:00:00Z,22391,367,18878,2164578,27310,2114877
227,20200916T00:00:00Z,22504,367,19310,2178832,25842,2130486
228,20200917T00:00:00Z,22657,372,19543,2191892,25508,2143727
229,20200918T00:00:00Z,22783,377,19771,2206365,25403,2158179
230,20200919T00:00:00Z,22893,378,19970,2219162,24705,2171564
231,20200920T00:00:00Z,22975,383,20158,2226701,24274,2179452
232,20200921T00:00:00Z,23045,385,20248,2231589,22536,2186008
233,20200922T00:00:00Z,23106,388,20441,2245112,23222,2198784
234,20200923T00:00:00Z,23216,388,20650,2256899,20527,2213156
235,20200924T00:00:00Z,23341,393,20832,2268999,20782,2224876
236,20200925T00:00:00Z,23455,395,20978,2280276,19575,2237246
237,20200926T00:00:00Z,23516,399,21166,2290345,18508,2248321
238,20200927T00:00:00Z,23611,401,21248,2296517,18878,2254028
239,20200928T00:00:00Z,23661,406,21292,2301303,18587,2259055
240,20200929T00:00:00Z,23699,407,21470,2313044,20056,2269289
241,20200930T00:00:00Z,23812,413,21591,2322999,20596,2278591
242,20201001T00:00:00Z,23889,415,21666,2328435,20029,2284517
243,20201002T00:00:00Z,23952,416,21733,2333777,19995,2289830
244,20201003T00:00:00Z,24027,420,21787,2339859,21287,2294545
245,20201004T00:00:00Z,24091,421,21845,2346345,22116,2300138
246,20201005T00:00:00Z,24164,422,21886,2352378,22447,2305767
247,20201006T00:00:00Z,24239,422,22083,2365433,22737,2318457
248,20201007T00:00:00Z,24353,425,22334,2378073,22138,2331582
249,20201008T00:00:00Z,24422,427,22463,2388844,20978,2343444
250,20201009T00:00:00Z,24476,428,22569,2400233,20699,2355058
251,20201010T00:00:00Z,24548,430,22624,2404684,18982,2361154
252,20201011T00:00:00Z,24606,432,22693,2410483,19303,2366574
253,20201012T00:00:00Z,24703,433,22728,2415610,19192,2371715
254,20201013T00:00:00Z,24805,434,22863,2428771,20124,2383842
255,20201014T00:00:00Z,24889,438,23030,2441454,18396,2398169
256,20201015T00:00:00Z,24988,439,23082,2450739,18262,2407489
257,20201016T00:00:00Z,25035,441,23180,2459426,17355,2417036
258,20201017T00:00:00Z,25108,443,23258,2468527,17318,2426101
259,20201018T00:00:00Z,25199,444,23312,2474529,17781,2431549
260,20201019T00:00:00Z,25275,444,23368,2479226,16763,2437188
261,20201020T00:00:00Z,25333,447,23466,2491311,19379,2446599
262,20201021T00:00:00Z,25424,450,23584,2503491,19493,2458574
263,20201022T00:00:00Z,25543,453,23647,2515325,19813,2469969
264,20201023T00:00:00Z,25698,455,23717,2528621,20430,2482493
265,20201024T00:00:00Z,25775,457,23834,2540679,21888,2493016
266,20201025T00:00:00Z,25836,457,23869,2546146,21682,2498628
267,20201026T00:00:00Z,25955,457,23905,2552264,20763,2505546
268,20201027T00:00:00Z,26043,460,23981,2567587,23003,2518541
269,20201028T00:00:00Z,26146,461,24073,2582960,22904,2533910
270,20201029T00:00:00Z,26271,462,24168,2597978,26148,2545559
