time,gubun,confCase,confCaseRate,death,deathRate,criticalRate
0,20200408T11:00:00Z,남성,4163,40.09,106,53.00,2.55
1,20200408T11:00:00Z,여성,6221,59.91,94,47.00,1.51
2,20200408T11:00:00Z,80 이상,470,4.53,96,48.00,20.43
3,20200408T11:00:00Z,70-79,692,6.66,60,30.00,8.67
4,20200408T11:00:00Z,60-69,1312,12.63,27,13.50,2.06
5,20200408T11:00:00Z,50-59,1915,18.44,13,6.50,0.68
6,20200408T11:00:00Z,40-49,1387,13.36,3,1.50,0.22
7,20200408T11:00:00Z,30-39,1102,10.61,1,0.50,0.09
8,20200408T11:00:00Z,20-29,2832,27.27,0,0.00,0
9,20200408T11:00:00Z,10-19,548,5.28,0,0.00,0
10,20200408T11:00:00Z,0-9,126,1.21,0,0.00,0
11,20200409T10:00:00Z,남성,4185,40.15,107,52.45,2.56
12,20200409T10:00:00Z,여성,6238,59.85,97,47.55,1.55
13,20200409T10:00:00Z,80 이상,473,4.54,100,49.02,21.14
14,20200409T10:00:00Z,70-79,692,6.64,60,29.41,8.67
15,20200409T10:00:00Z,60-69,1314,12.61,27,13.24,2.05
16,20200409T10:00:00Z,50-59,1917,18.39,13,6.37,0.68
17,20200409T10:00:00Z,40-49,1394,13.37,3,1.47,0.22
18,20200409T10:00:00Z,30-39,1109,10.64,1,0.49,0.09
19,20200409T10:00:00Z,20-29,2844,27.29,0,0.00,0
20,20200409T10:00:00Z,10-19,552,5.3,0,0.00,0
21,20200409T10:00:00Z,0-9,128,1.23,0,0.00,0
22,20200410T10:00:00Z,남성,4200,40.19,109,52.40,2.6
23,20200410T10:00:00Z,여성,6250,59.81,99,47.60,1.58
24,20200410T10:00:00Z,80 이상,474,4.54,101,48.56,21.31
25,20200410T10:00:00Z,70-79,694,6.64,62,29.81,8.93
26,20200410T10:00:00Z,60-69,1320,12.63,28,13.46,2.12
27,20200410T10:00:00Z,50-59,1920,18.37,13,6.25,0.68
28,20200410T10:00:00Z,40-49,1396,13.36,3,1.44,0.21
29,20200410T10:00:00Z,30-39,1113,10.65,1,0.48,0.09
30,20200410T10:00:00Z,20-29,2851,27.28,0,0.00,0
31,20200410T10:00:00Z,10-19,553,5.29,0,0.00,0
32,20200410T10:00:00Z,0-9,129,1.23,0,0.00,0
33,20200411T10:00:00Z,남성,4215,40.22,111,52.61,2.63
34,20200411T10:00:00Z,여성,6265,59.78,100,47.39,1.6
35,20200411T10:00:00Z,80 이상,475,4.53,101,47.87,21.26
36,20200411T10:00:00Z,70-79,694,6.62,63,29.86,9.08
37,20200411T10:00:00Z,60-69,1327,12.66,29,13.74,2.19
38,20200411T10:00:00Z,50-59,1926,18.38,14,6.64,0.73
39,20200411T10:00:00Z,40-49,1399,13.35,3,1.42,0.21
40,20200411T10:00:00Z,30-39,1115,10.64,1,0.47,0.09
41,20200411T10:00:00Z,20-29,2856,27.25,0,0.00,0
42,20200411T10:00:00Z,10-19,558,5.32,0,0.00,0
