time,City,Confirmed,Death,Recovered,Incidence
0,20200304T00:00:00Z,합계,5328,32,0,10.3
1,20200304T00:00:00Z,서울,99,0,0,1
2,20200304T00:00:00Z,부산,93,1,0,2.7
3,20200304T00:00:00Z,대구,4006,24,0,164.4
4,20200304T00:00:00Z,인천,9,0,0,0.3
5,20200304T00:00:00Z,광주,13,0,0,0.9
6,20200304T00:00:00Z,대전,15,0,0,1
7,20200304T00:00:00Z,울산,23,0,0,2
8,20200304T00:00:00Z,세종,1,0,0,0.3
9,20200304T00:00:00Z,경기,101,1,0,0.8
10,20200304T00:00:00Z,강원,21,0,0,1.4
11,20200304T00:00:00Z,충북,11,0,0,0.7
12,20200304T00:00:00Z,충남,82,0,0,3.9
13,20200304T00:00:00Z,전북,7,0,0,0.4
14,20200304T00:00:00Z,전남,5,0,0,0.3
15,20200304T00:00:00Z,경북,774,6,0,29.1
16,20200304T00:00:00Z,경남,65,0,0,1.9
17,20200304T00:00:00Z,제주,3,0,0,0.4
18,20200305T00:00:00Z,합계,5766,35,0,11.1
19,20200305T00:00:00Z,서울,103,0,0,1.1
20,20200305T00:00:00Z,부산,92,1,0,2.7
21,20200305T00:00:00Z,대구,4327,27,0,177.6
22,20200305T00:00:00Z,인천,9,0,0,0.3
23,20200305T00:00:00Z,광주,14,0,0,1.0
24,20200305T00:00:00Z,대전,16,0,0,1.1
25,20200305T00:00:00Z,울산,23,0,0,2.0
26,20200305T00:00:00Z,세종,1,0,0,0.3
27,20200305T00:00:00Z,경기,110,1,0,0.8
28,20200305T00:00:00Z,강원,23,0,0,1.5
29,20200305T00:00:00Z,충북,12,0,0,0.8
30,20200305T00:00:00Z,충남,86,0,0,4.1
31,20200305T00:00:00Z,전북,7,0,0,0.4
32,20200305T00:00:00Z,전남,4,0,0,0.2
33,20200305T00:00:00Z,경북,861,6,0,32.3
34,20200305T00:00:00Z,경남,74,0,0,2.2
35,20200305T00:00:00Z,제주,4,0,0,0.6
36,20200306T00:00:00Z,합계,6284,42,0,12.1
37,20200306T00:00:00Z,서울,105,0,0,1.1
38,20200306T00:00:00Z,부산,95,1,0,2.8
39,20200306T00:00:00Z,대구,4694,30,0,192.7
40,20200306T00:00:00Z,인천,9,0,0,0.3
41,20200306T00:00:00Z,광주,13,0,0,0.9
42,20200306T00:00:00Z,대전,18,0,0,1.2
43,20200306T00:00:00Z,울산,23,0,0,2
44,20200306T00:00:00Z,세종,1,0,0,0.3
45,20200306T00:00:00Z,경기,120,1,0,0.9
46,20200306T00:00:00Z,강원,25,0,0,1.6
47,20200306T00:00:00Z,충북,15,0,0,0.9
48,20200306T00:00:00Z,충남,90,0,0,4.2
49,20200306T00:00:00Z,전북,7,0,0,0.4
50,20200306T00:00:00Z,전남,4,0,0,0.2
51,20200306T00:00:00Z,경북,984,10,0,37
52,20200306T00:00:00Z,경남,77,0,0,2.3
53,20200306T00:00:00Z,제주,4,0,0,0.6
54,20200307T00:00:00Z,합계,6767,44,0,12.1
55,20200307T00:00:00Z,서울,108,0,0,1.1
56,20200307T00:00:00Z,부산,96,1,0,2.8
57,20200307T00:00:00Z,대구,5084,31,0,208.7
58,20200307T00:00:00Z,인천,9,0,0,0.3
59,20200307T00:00:00Z,광주,13,0,0,0.9
60,20200307T00:00:00Z,대전,18,0,0,1.2
61,20200307T00:00:00Z,울산,23,0,0,2
